Title,Author,First Page,Last Page,Next Page,Progress,Started On,Last Read On,Archived On,Time Read,Reading Sessions,Pages/Session,Time/Session,Time/Page
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life",David D. Burns,1,410,410,100%,8/22/18,9/9/18,9/9/18,7 h 59 min,16,26,29 min,1 min
The Wedding,Nicholas Sparks,1,263,263,100%,1/25/19,1/30/19,1/30/19,4 h 56 min,8,33,37 min,1 min
The Book of a Mormon: The Real Life and Strange Times of an LDS Missionary,Scott D. Miller,7,270,264,100%,1/3/22,1/8/22,1/8/22,7 h 32 min,8,33,56 min,1 min
The Jungle,Upton Sinclair,1,325,325,100%,3/26/19,4/8/19,4/8/19,11 h 46 min,18,18,39 min,2 min
Spook: Science Tackles the Afterlife,Mary Roach,11,295,285,100%,3/9/19,3/25/19,3/25/19,7 h 16 min,13,22,33 min,1 min
Sapiens,Yuval Noah Harari,10,351,342,100%,5/17/19,6/28/19,6/28/19,10 h 58 min,11,31,59 min,1 min
The Ice Limit,Douglas Preston,1,491,491,100%,11/15/21,11/23/21,11/23/21,10 h 20 min,16,31,38 min,1 min
The Birthdays,Heidi Pitlor,7,355,349,100%,10/15/21,11/2/21,11/2/21,7 h 45 min,15,23,31 min,1 min
How to Win Friends & Influence People,Dale Carnegie,1,248,29,11%,1/2/22,1/9/22,,1 h 6 min,2,15,33 min,2 min
King Leopold's Ghost,Adam Hochschild,1,318,318,100%,6/15/20,8/30/20,8/30/20,13 h 20 min,14,23,57 min,2 min
The Midnight Library,Matt Haig,1,288,288,100%,11/28/21,12/2/21,12/3/21,5 h 6 min,8,36,38 min,1 min
Three Cups of Tea,Greg Mortenson,1,331,331,100%,11/29/19,12/28/19,12/28/19,11 h 18 min,18,18,37 min,2 min
Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,1,222,222,100%,6/19/19,6/24/19,6/24/19,4 h 39 min,5,44,55 min,1 min
Outliers: The Story of Success,Malcolm Gladwell,1,285,285,100%,2/21/19,3/8/19,3/8/19,5 h 57 min,7,41,51 min,1 min
"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,1,503,503,100%,4/30/19,6/28/19,6/28/19,14 h 5 min,26,19,32 min,1 min
"Brain Trust: 93 Top Scientists Reveal Lab-Tested Secrets to Surfing, Dating, Dieting, Gambling, Growing Man-Eating Plants, and More!",Garth Sundem,1,219,219,100%,4/18/19,4/21/19,4/21/19,5 h 38 min,6,37,56 min,1 min
"The Mammy (Agnes Browne, #1)",Brendan O'Carroll,9,174,166,100%,6/29/19,7/1/19,7/1/19,2 h 51 min,3,55,57 min,1 min
Easter Weekend,David Bottoms,1,198,198,100%,12/28/19,1/3/20,1/3/20,4 h 23 min,6,33,43 min,1 min
Lord Jim,Joseph Conrad,1,322,322,100%,5/9/20,5/31/20,5/31/20,12 h 46 min,16,20,47 min,2 min
A Long Way Gone,Ishmael Beah,5,218,214,100%,4/23/19,4/29/19,4/30/19,5 h 43 min,10,21,34 min,1 min
The Lovely Bones,Alice Sebold,1,328,328,100%,9/10/18,9/28/18,9/28/18,8 h 28 min,19,17,26 min,1 min
Ghost Wars,Steve Coll,1,588,588,100%,4/6/20,5/3/20,5/3/20,25 h 29 min,25,24,1 h 1 min,2 min
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,1,370,370,100%,3/26/21,10/14/21,10/14/21,12 h 13 min,20,19,36 min,1 min
