"Book","Started On","Finished On","Duration","First Page","Last Page","Pages Read","Time/Page"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","8/24/18 4:08 PM","8/24/18 4:52 PM","31 min 26 s","88","126","39","48 s"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","8/22/18 10:01 PM","8/22/18 10:50 PM","49 min 35 s","30","63","34","1 min 27 s"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","8/23/18 11:34 PM","8/24/18 12:04 AM","29 min 31 s","63","88","26","1 min 8 s"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","9/3/18 8:30 PM","9/3/18 8:48 PM","18 min 40 s","284","296","13","1 min 26 s"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","8/31/18 10:12 PM","8/31/18 10:31 PM","15 min 36 s","234","250","17","55 s"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","8/22/18 4:36 PM","8/22/18 5:26 PM","43 min 45 s","1","30","30","1 min 27 s"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","8/27/18 11:34 AM","8/27/18 11:51 AM","16 min 54 s","157","170","14","1 min 12 s"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","8/26/18 11:34 PM","8/26/18 11:51 PM","16 min 54 s","143","157","15","1 min 7 s"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","9/3/18 3:26 PM","9/3/18 4:20 PM","50 min 14 s","250","284","35","1 min 26 s"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","8/27/18 10:21 PM","8/27/18 10:50 PM","28 min 58 s","170","190","21","1 min 22 s"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","8/25/18 11:25 AM","8/25/18 11:43 AM","18 min 5 s","126","143","18","1 min 0 s"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","9/9/18 11:34 AM","9/9/18 11:54 AM","20 min 10 s","388","410","23","52 s"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","9/4/18 9:02 PM","9/4/18 9:23 PM","21 min 9 s","296","309","14","1 min 30 s"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","8/28/18 9:25 PM","8/28/18 9:55 PM","27 min 38 s","190","208","19","1 min 27 s"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","8/29/18 11:52 AM","8/29/18 12:25 PM","29 min 42 s","208","234","27","1 min 6 s"
"When Panic Attacks: The New, Drug-Free Anxiety Therapy That Can Change Your Life","9/6/18 7:24 PM","9/6/18 8:25 PM","1 h","309","388","80","45 s"
"The Wedding","1/28/19 4:14 PM","1/28/19 5:23 PM","37 min 5 s","100","133","34","1 min 5 s"
"The Wedding","1/28/19 10:04 PM","1/28/19 10:46 PM","42 min 40 s","133","174","42","1 min 0 s"
"The Wedding","1/25/19 9:24 AM","1/25/19 9:56 AM","32 min 2 s","1","25","25","1 min 16 s"
"The Wedding","1/28/19 11:27 AM","1/28/19 11:41 AM","14 min 22 s","89","100","12","1 min 11 s"
"The Wedding","1/25/19 1:15 PM","1/25/19 1:43 PM","27 min 46 s","25","52","28","59 s"
"The Wedding","1/29/19 5:37 PM","1/29/19 7:30 PM","33 min 5 s","174","203","30","1 min 6 s"
"The Wedding","1/26/19 9:24 PM","1/26/19 10:09 PM","44 min 36 s","52","89","38","1 min 10 s"
"The Wedding","1/30/19 8:02 PM","1/30/19 9:43 PM","1 h 4 min","203","263","61","1 min 3 s"
"The Book of a Mormon: The Real Life and Strange Times of an LDS Missionary","1/4/22 7:06 AM","1/4/22 7:51 AM","44 min 55 s","43","70","28","1 min 36 s"
"The Book of a Mormon: The Real Life and Strange Times of an LDS Missionary","1/6/22 7:11 AM","1/6/22 8:06 AM","55 min 21 s","141","173","33","1 min 40 s"
"The Book of a Mormon: The Real Life and Strange Times of an LDS Missionary","1/3/22 7:08 AM","1/3/22 8:17 AM","1 h 9 min","7","43","37","1 min 52 s"
"The Book of a Mormon: The Real Life and Strange Times of an LDS Missionary","1/5/22 7:59 PM","1/5/22 8:29 PM","29 min 51 s","121","141","21","1 min 25 s"
"The Book of a Mormon: The Real Life and Strange Times of an LDS Missionary","1/5/22 7:09 AM","1/5/22 8:38 AM","1 h 27 min","70","121","52","1 min 41 s"
"The Book of a Mormon: The Real Life and Strange Times of an LDS Missionary","1/7/22 7:12 AM","1/7/22 7:51 AM","38 min 39 s","173","194","22","1 min 45 s"
"The Book of a Mormon: The Real Life and Strange Times of an LDS Missionary","1/8/22 7:07 AM","1/8/22 8:13 AM","1 h 5 min","194","234","41","1 min 36 s"
"The Book of a Mormon: The Real Life and Strange Times of an LDS Missionary","1/8/22 4:40 PM","1/8/22 5:41 PM","1 h 1 min","234","270","37","1 min 39 s"
"The Jungle","4/3/19 10:46 AM","4/3/19 11:41 AM","54 min 58 s","182","210","29","1 min 53 s"
"The Jungle","3/27/19 9:26 PM","3/27/19 10:15 PM","48 min 28 s","38","59","22","2 min 12 s"
"The Jungle","3/31/19 6:02 PM","3/31/19 6:22 PM","19 min 35 s","102","111","10","1 min 57 s"
"The Jungle","3/31/19 8:00 PM","3/31/19 8:47 PM","46 min 8 s","111","133","23","2 min 0 s"
"The Jungle","4/8/19 3:27 PM","4/8/19 4:17 PM","46 min 31 s","307","325","19","2 min 26 s"
"The Jungle","4/2/19 9:19 PM","4/2/19 10:05 PM","46 min 9 s","153","182","30","1 min 32 s"
"The Jungle","3/28/19 9:39 PM","3/28/19 10:21 PM","42 min 49 s","59","78","20","2 min 8 s"
"The Jungle","4/6/19 6:30 PM","4/6/19 7:01 PM","31 min 48 s","278","292","15","2 min 7 s"
"The Jungle","4/4/19 9:47 PM","4/4/19 10:33 PM","45 min 52 s","210","231","22","2 min 5 s"
"The Jungle","3/30/19 8:18 PM","3/31/19 12:48 AM","26 min 0 s","78","88","11","2 min 21 s"
"The Jungle","3/26/19 7:10 PM","3/26/19 7:55 PM","44 min 6 s","18","38","21","2 min 6 s"
"The Jungle","4/6/19 11:55 AM","4/6/19 12:19 PM","24 min 23 s","262","272","11","2 min 13 s"
"The Jungle","4/1/19 10:33 AM","4/1/19 11:08 AM","34 min 26 s","133","153","21","1 min 38 s"
"The Jungle","3/31/19 10:38 AM","3/31/19 11:12 AM","33 min 35 s","88","102","15","2 min 14 s"
"The Jungle","4/6/19 5:45 PM","4/6/19 5:56 PM","11 min 40 s","272","278","7","1 min 40 s"
"The Jungle","3/26/19 1:49 PM","3/26/19 2:32 PM","43 min 13 s","1","18","18","2 min 24 s"
"The Jungle","4/5/19 9:22 PM","4/5/19 10:38 PM","1 h 15 min","231","262","32","2 min 21 s"
"The Jungle","4/8/19 2:24 PM","4/8/19 2:56 PM","31 min 14 s","292","307","16","1 min 57 s"
"Spook: Science Tackles the Afterlife","3/25/19 3:40 PM","3/25/19 4:16 PM","36 min 16 s","269","295","27","1 min 20 s"
"Spook: Science Tackles the Afterlife","3/21/19 8:52 PM","3/21/19 9:25 PM","33 min 11 s","168","191","24","1 min 22 s"
"Spook: Science Tackles the Afterlife","3/23/19 9:22 PM","3/23/19 9:44 PM","21 min 50 s","211","229","19","1 min 8 s"
"Spook: Science Tackles the Afterlife","3/17/19 11:04 PM","3/17/19 11:22 PM","18 min 21 s","115","127","13","1 min 24 s"
"Spook: Science Tackles the Afterlife","3/9/19 8:26 PM","3/9/19 9:37 PM","1 h 8 min","11","53","43","1 min 35 s"
"Spook: Science Tackles the Afterlife","3/16/19 11:27 PM","3/16/19 11:43 PM","15 min 49 s","91","99","9","1 min 45 s"
"Spook: Science Tackles the Afterlife","3/17/19 4:29 PM","3/17/19 4:58 PM","24 min 48 s","99","115","17","1 min 27 s"
"Spook: Science Tackles the Afterlife","3/11/19 9:47 PM","3/11/19 10:21 PM","34 min 28 s","53","75","23","1 min 29 s"
"Spook: Science Tackles the Afterlife","3/22/19 11:03 AM","3/22/19 11:37 AM","33 min 38 s","191","211","21","1 min 36 s"
"Spook: Science Tackles the Afterlife","3/19/19 8:56 PM","3/19/19 9:39 PM","37 min 52 s","127","148","22","1 min 43 s"
"Spook: Science Tackles the Afterlife","3/20/19 9:30 PM","3/20/19 10:02 PM","31 min 58 s","148","168","21","1 min 31 s"
"Spook: Science Tackles the Afterlife","3/24/19 7:25 PM","3/24/19 8:21 PM","56 min 2 s","229","269","41","1 min 22 s"
"Spook: Science Tackles the Afterlife","3/12/19 10:33 PM","3/12/19 10:58 PM","24 min 30 s","75","91","17","1 min 26 s"
"Sapiens","5/16/19 2:35 PM","5/17/19 12:27 PM","38 min 57 s","10","22","13","2 min 59 s"
"Sapiens","6/25/19 6:46 PM","6/25/19 7:46 PM","53 min 7 s","75","98","24","2 min 12 s"
"Sapiens","6/25/19 9:21 AM","6/25/19 10:31 AM","1 h 9 min","39","75","37","1 min 52 s"
"Sapiens","6/27/19 3:28 PM","6/27/19 5:00 PM","1 h 26 min","260","303","44","1 min 58 s"
"Sapiens","5/21/19 4:49 PM","5/21/19 10:52 PM","26 min 23 s","22","32","11","2 min 23 s"
"Sapiens","6/26/19 9:39 AM","6/26/19 10:47 AM","1 h 8 min","114","156","43","1 min 35 s"
"Sapiens","6/25/19 8:25 PM","6/25/19 8:58 PM","32 min 59 s","98","114","17","1 min 56 s"
"Sapiens","5/29/19 2:15 PM","5/29/19 2:29 PM","14 min 0 s","32","39","8","1 min 45 s"
"Sapiens","6/27/19 9:12 AM","6/27/19 11:06 AM","1 h 42 min","204","260","57","1 min 47 s"
"Sapiens","6/26/19 2:26 PM","6/26/19 3:53 PM","1 h 26 min","156","204","49","1 min 45 s"
"Sapiens","6/28/19 10:58 AM","6/28/19 12:40 PM","1 h 20 min","303","351","49","1 min 38 s"
"The Ice Limit","11/17/21 5:26 PM","11/17/21 6:02 PM","20 min 0 s","51","66","16","1 min 15 s"
"The Ice Limit","11/17/21 8:56 PM","11/17/21 9:37 PM","40 min 37 s","70","98","29","1 min 24 s"
"The Ice Limit","11/18/21 8:45 PM","11/18/21 9:20 PM","35 min 6 s","122","147","26","1 min 21 s"
"The Ice Limit","11/22/21 8:05 AM","11/22/21 8:41 AM","35 min 45 s","350","381","32","1 min 7 s"
"The Ice Limit","11/18/21 8:07 AM","11/18/21 8:40 AM","32 min 48 s","98","122","25","1 min 18 s"
"The Ice Limit","11/15/21 12:03 PM","11/15/21 12:35 PM","31 min 21 s","1","23","23","1 min 21 s"
"The Ice Limit","11/21/21 8:32 PM","11/21/21 9:14 PM","41 min 55 s","316","350","35","1 min 11 s"
"The Ice Limit","11/21/21 5:38 PM","11/21/21 6:08 PM","30 min 16 s","290","316","27","1 min 7 s"
"The Ice Limit","11/17/21 7:22 PM","11/17/21 7:30 PM","8 min 46 s","66","70","5","1 min 45 s"
"The Ice Limit","11/20/21 8:57 PM","11/20/21 9:28 PM","31 min 27 s","173","200","28","1 min 7 s"
"The Ice Limit","11/22/21 9:12 PM","11/22/21 9:46 PM","33 min 33 s","381","414","34","59 s"
"The Ice Limit","11/21/21 3:35 PM","11/21/21 4:27 PM","51 min 41 s","249","290","42","1 min 13 s"
"The Ice Limit","11/21/21 7:58 AM","11/21/21 9:01 AM","1 h 2 min","200","249","50","1 min 15 s"
"The Ice Limit","11/19/21 10:12 PM","11/19/21 10:49 PM","37 min 31 s","147","173","27","1 min 23 s"
"The Ice Limit","11/23/21 7:06 AM","11/23/21 8:31 AM","1 h 23 min","414","491","78","1 min 4 s"
"The Ice Limit","11/16/21 7:18 AM","11/16/21 8:01 AM","43 min 20 s","23","51","29","1 min 29 s"
"The Birthdays","10/28/21 6:30 PM","10/28/21 7:00 PM","29 min 48 s","211","236","26","1 min 8 s"
"The Birthdays","10/30/21 8:42 AM","10/30/21 9:12 AM","29 min 52 s","261","284","24","1 min 14 s"
"The Birthdays","10/26/21 8:23 AM","10/26/21 8:52 AM","28 min 48 s","163","184","22","1 min 18 s"
"The Birthdays","10/21/21 9:05 PM","10/21/21 9:35 PM","30 min 0 s","114","139","26","1 min 9 s"
"The Birthdays","11/2/21 8:23 AM","11/2/21 8:48 AM","25 min 17 s","335","355","21","1 min 12 s"
"The Birthdays","10/24/21 6:52 PM","10/24/21 7:25 PM","32 min 59 s","139","163","25","1 min 19 s"
"The Birthdays","10/19/21 12:40 PM","10/19/21 1:10 PM","29 min 36 s","66","88","23","1 min 17 s"
"The Birthdays","10/27/21 8:06 AM","10/27/21 8:37 AM","31 min 19 s","184","211","28","1 min 7 s"
"The Birthdays","11/1/21 7:48 PM","11/1/21 8:28 PM","40 min 13 s","303","335","33","1 min 13 s"
"The Birthdays","10/18/21 8:09 AM","10/18/21 8:38 AM","29 min 33 s","47","66","20","1 min 28 s"
"The Birthdays","10/29/21 7:24 AM","10/29/21 7:59 AM","35 min 30 s","236","261","26","1 min 21 s"
"The Birthdays","10/20/21 5:58 PM","10/20/21 6:31 PM","32 min 45 s","88","114","27","1 min 12 s"
"The Birthdays","10/17/21 9:23 PM","10/17/21 9:47 PM","22 min 54 s","32","47","16","1 min 25 s"
"The Birthdays","10/15/21 7:34 AM","10/15/21 8:15 AM","40 min 14 s","7","32","26","1 min 32 s"
"The Birthdays","10/31/21 3:41 PM","10/31/21 5:11 PM","27 min 1 s","284","303","20","1 min 21 s"
"How to Win Friends & Influence People","1/9/22 7:09 AM","1/9/22 7:33 AM","23 min 55 s","16","29","14","1 min 42 s"
"How to Win Friends & Influence People","1/2/22 8:28 AM","1/2/22 9:10 AM","42 min 35 s","1","16","16","2 min 39 s"
"King Leopold's Ghost","8/3/20 7:51 AM","8/3/20 8:14 AM","22 min 24 s","139","149","11","2 min 2 s"
"King Leopold's Ghost","8/23/20 2:07 PM","8/23/20 3:00 PM","46 min 32 s","234","252","19","2 min 26 s"
"King Leopold's Ghost","8/2/20 7:59 AM","8/2/20 9:51 AM","1 h 29 min","100","139","40","2 min 13 s"
"King Leopold's Ghost","6/18/20 7:22 AM","6/18/20 8:34 AM","1 h 12 min","60","87","28","2 min 35 s"
"King Leopold's Ghost","8/15/20 12:49 PM","8/15/20 1:27 PM","37 min 15 s","149","166","18","2 min 4 s"
"King Leopold's Ghost","8/20/20 7:20 AM","8/20/20 8:37 AM","1 h 17 min","184","208","25","3 min 5 s"
"King Leopold's Ghost","8/30/20 3:26 PM","8/30/20 4:32 PM","1 h","292","318","27","2 min 14 s"
"King Leopold's Ghost","6/15/20 7:11 AM","6/15/20 8:31 AM","1 h 16 min","1","32","32","2 min 23 s"
"King Leopold's Ghost","8/29/20 7:52 PM","8/29/20 8:43 PM","49 min 21 s","274","292","19","2 min 35 s"
"King Leopold's Ghost","7/23/20 7:35 AM","7/23/20 8:12 AM","37 min 1 s","87","100","14","2 min 38 s"
"King Leopold's Ghost","8/22/20 9:21 AM","8/22/20 10:36 AM","1 h 10 min","208","234","27","2 min 35 s"
"King Leopold's Ghost","8/24/20 7:46 AM","8/24/20 8:52 AM","1 h","252","274","23","2 min 36 s"
"King Leopold's Ghost","8/16/20 2:44 PM","8/16/20 3:16 PM","32 min 10 s","166","184","19","1 min 41 s"
"King Leopold's Ghost","6/17/20 6:44 AM","6/17/20 7:55 AM","1 h 10 min","32","60","29","2 min 24 s"
